Enter user ID (e.g., 2): video=2.mp4 t=0.266s | yaw=0.00 | pitch=-13.00
video=2.mp4 t=9.640s | yaw=-47.00 | pitch=-32.00
video=2.mp4 t=9.740s | yaw=-43.00 | pitch=-33.00
video=2.mp4 t=9.841s | yaw=-39.00 | pitch=-34.00
video=2.mp4 t=9.942s | yaw=-35.00 | pitch=-35.00
video=2.mp4 t=10.042s | yaw=-30.00 | pitch=-35.00
video=2.mp4 t=10.143s | yaw=-24.00 | pitch=-35.00
video=2.mp4 t=10.243s | yaw=-19.00 | pitch=-35.00
video=2.mp4 t=10.344s | yaw=-15.00 | pitch=-35.00
video=2.mp4 t=10.444s | yaw=-12.00 | pitch=-35.00
video=2.mp4 t=10.545s | yaw=-9.00 | pitch=-36.00
video=2.mp4 t=10.645s | yaw=-5.00 | pitch=-36.00
video=2.mp4 t=10.746s | yaw=1.00 | pitch=-35.00
video=2.mp4 t=10.846s | yaw=7.00 | pitch=-35.00
video=2.mp4 t=10.947s | yaw=13.00 | pitch=-34.00
video=2.mp4 t=11.047s | yaw=18.00 | pitch=-32.00
video=2.mp4 t=11.148s | yaw=23.00 | pitch=-32.00
video=2.mp4 t=11.248s | yaw=26.00 | pitch=-31.00
video=2.mp4 t=11.349s | yaw=28.00 | pitch=-31.00
video=2.mp4 t=11.450s | yaw=29.00 | pitch=-31.00
video=2.mp4 t=11.550s | yaw=30.00 | pitch=-30.00
video=2.mp4 t=11.650s | yaw=32.00 | pitch=-28.00
video=2.mp4 t=11.751s | yaw=35.00 | pitch=-27.00
video=2.mp4 t=11.851s | yaw=37.00 | pitch=-26.00
video=2.mp4 t=11.951s | yaw=39.00 | pitch=-26.00
video=2.mp4 t=12.052s | yaw=38.00 | pitch=-27.00
video=2.mp4 t=12.153s | yaw=38.00 | pitch=-28.00
video=2.mp4 t=12.253s | yaw=37.00 | pitch=-28.00
video=2.mp4 t=12.354s | yaw=37.00 | pitch=-29.00
video=2.mp4 t=12.454s | yaw=35.00 | pitch=-31.00
video=2.mp4 t=12.555s | yaw=31.00 | pitch=-34.00
video=2.mp4 t=12.655s | yaw=26.00 | pitch=-35.00
video=2.mp4 t=12.756s | yaw=21.00 | pitch=-37.00
video=2.mp4 t=12.856s | yaw=17.00 | pitch=-37.00
video=2.mp4 t=12.957s | yaw=14.00 | pitch=-38.00
video=2.mp4 t=13.057s | yaw=11.00 | pitch=-39.00
video=2.mp4 t=13.158s | yaw=9.00 | pitch=-39.00
video=2.mp4 t=13.258s | yaw=7.00 | pitch=-39.00
video=2.mp4 t=13.359s | yaw=7.00 | pitch=-39.00
video=2.mp4 t=13.460s | yaw=6.00 | pitch=-40.00
video=2.mp4 t=13.560s | yaw=6.00 | pitch=-40.00
video=2.mp4 t=13.661s | yaw=5.00 | pitch=-41.00
video=2.mp4 t=13.762s | yaw=2.00 | pitch=-41.00
video=2.mp4 t=13.862s | yaw=-1.00 | pitch=-41.00
video=2.mp4 t=13.962s | yaw=-4.00 | pitch=-41.00
video=2.mp4 t=14.064s | yaw=-5.00 | pitch=-40.00
video=2.mp4 t=14.164s | yaw=-5.00 | pitch=-41.00
video=2.mp4 t=14.264s | yaw=-5.00 | pitch=-41.00
video=2.mp4 t=14.365s | yaw=-5.00 | pitch=-41.00
video=2.mp4 t=14.466s | yaw=-5.00 | pitch=-41.00
video=2.mp4 t=14.566s | yaw=-5.00 | pitch=-41.00
video=2.mp4 t=14.667s | yaw=-5.00 | pitch=-42.00
video=2.mp4 t=14.767s | yaw=-5.00 | pitch=-42.00
video=2.mp4 t=14.867s | yaw=-6.00 | pitch=-42.00
video=2.mp4 t=14.969s | yaw=-6.00 | pitch=-43.00
video=2.mp4 t=15.069s | yaw=-5.00 | pitch=-43.00
video=2.mp4 t=15.169s | yaw=-5.00 | pitch=-43.00
video=2.mp4 t=15.269s | yaw=-3.00 | pitch=-40.00
video=2.mp4 t=15.370s | yaw=-1.00 | pitch=-35.00
video=2.mp4 t=15.470s | yaw=0.00 | pitch=-27.00
video=2.mp4 t=15.571s | yaw=1.00 | pitch=-20.00
video=2.mp4 t=15.672s | yaw=2.00 | pitch=-15.00
video=2.mp4 t=15.772s | yaw=3.00 | pitch=-10.00
video=2.mp4 t=15.873s | yaw=3.00 | pitch=-8.00
video=2.mp4 t=15.973s | yaw=2.00 | pitch=-8.00
video=2.mp4 t=16.074s | yaw=-2.00 | pitch=-8.00
video=2.mp4 t=16.174s | yaw=-5.00 | pitch=-8.00
video=2.mp4 t=16.275s | yaw=-8.00 | pitch=-8.00
video=2.mp4 t=16.375s | yaw=-10.00 | pitch=-9.00
video=2.mp4 t=16.476s | yaw=-12.00 | pitch=-9.00
video=2.mp4 t=16.576s | yaw=-13.00 | pitch=-9.00
video=2.mp4 t=16.677s | yaw=-13.00 | pitch=-10.00
video=2.mp4 t=16.777s | yaw=-9.00 | pitch=-11.00
video=2.mp4 t=16.878s | yaw=-2.00 | pitch=-12.00
video=2.mp4 t=16.978s | yaw=9.00 | pitch=-14.00
video=2.mp4 t=17.079s | yaw=22.00 | pitch=-14.00
video=2.mp4 t=17.179s | yaw=35.00 | pitch=-13.00
video=2.mp4 t=17.280s | yaw=44.00 | pitch=-13.00
video=2.mp4 t=17.380s | yaw=52.00 | pitch=-12.00
video=2.mp4 t=17.481s | yaw=57.00 | pitch=-11.00
video=2.mp4 t=17.581s | yaw=63.00 | pitch=-11.00
video=2.mp4 t=17.682s | yaw=69.00 | pitch=-11.00
video=2.mp4 t=17.782s | yaw=74.00 | pitch=-11.00
video=2.mp4 t=17.883s | yaw=78.00 | pitch=-11.00
video=2.mp4 t=17.983s | yaw=81.00 | pitch=-11.00
video=2.mp4 t=18.084s | yaw=83.00 | pitch=-11.00
video=2.mp4 t=18.184s | yaw=84.00 | pitch=-11.00
video=2.mp4 t=18.285s | yaw=85.00 | pitch=-10.00
video=2.mp4 t=18.385s | yaw=84.00 | pitch=-7.00
video=2.mp4 t=18.486s | yaw=83.00 | pitch=-3.00
video=2.mp4 t=18.586s | yaw=82.00 | pitch=-1.00
video=2.mp4 t=18.687s | yaw=81.00 | pitch=1.00
video=2.mp4 t=18.787s | yaw=81.00 | pitch=2.00
video=2.mp4 t=18.888s | yaw=80.00 | pitch=3.00
video=2.mp4 t=18.988s | yaw=80.00 | pitch=4.00
video=2.mp4 t=19.089s | yaw=79.00 | pitch=6.00
video=2.mp4 t=19.189s | yaw=77.00 | pitch=7.00
video=2.mp4 t=19.290s | yaw=74.00 | pitch=8.00
video=2.mp4 t=19.390s | yaw=68.00 | pitch=8.00
video=2.mp4 t=19.491s | yaw=60.00 | pitch=8.00
video=2.mp4 t=19.591s | yaw=51.00 | pitch=9.00
video=2.mp4 t=19.693s | yaw=41.00 | pitch=8.00
video=2.mp4 t=19.804s | yaw=30.00 | pitch=5.00
video=2.mp4 t=19.905s | yaw=21.00 | pitch=3.00
video=2.mp4 t=20.005s | yaw=14.00 | pitch=2.00
video=2.mp4 t=20.106s | yaw=10.00 | pitch=2.00
video=2.mp4 t=20.206s | yaw=7.00 | pitch=1.00
video=2.mp4 t=20.307s | yaw=5.00 | pitch=0.00
video=2.mp4 t=20.407s | yaw=4.00 | pitch=-2.00
video=2.mp4 t=20.508s | yaw=2.00 | pitch=-3.00
video=2.mp4 t=20.608s | yaw=1.00 | pitch=-4.00
video=2.mp4 t=20.709s | yaw=-1.00 | pitch=-6.00
video=2.mp4 t=20.809s | yaw=-3.00 | pitch=-9.00
video=2.mp4 t=20.910s | yaw=-6.00 | pitch=-13.00
video=2.mp4 t=21.010s | yaw=-11.00 | pitch=-17.00
video=2.mp4 t=21.111s | yaw=-14.00 | pitch=-20.00
video=2.mp4 t=21.211s | yaw=-18.00 | pitch=-23.00
video=2.mp4 t=21.312s | yaw=-22.00 | pitch=-25.00
